date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:06:57	761/761	---M--	200	added ('OK')	image/svg+xml	etag:%2264e371d7-2f9%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/1x1/fm.svg	C:/Users/Orange/Downloads/Admin%20Template/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/1x1/fm.svg	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flag-icons.css)
20:06:57	567/567	---M--	200	added ('OK')	image/svg+xml	etag:%2264e371d7-237%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/4x3/fo.svg	C:/Users/Orange/Downloads/Admin%20Template/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/4x3/fo.svg	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flag-icons.css)
20:06:58	537/537	---M--	200	added ('OK')	image/svg+xml	etag:%2264e371d7-219%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/1x1/fo.svg	C:/Users/Orange/Downloads/Admin%20Template/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/1x1/fo.svg	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flag-icons.css)
20:06:58	231/231	---M--	200	added ('OK')	image/svg+xml	etag:%2264e371d7-e7%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/4x3/fr.svg	C:/Users/Orange/Downloads/Admin%20Template/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/4x3/fr.svg	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flag-icons.css)
20:06:58	231/231	---M--	200	added ('OK')	image/svg+xml	etag:%2264e371d7-e7%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/1x1/fr.svg	C:/Users/Orange/Downloads/Admin%20Template/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/1x1/fr.svg	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flag-icons.css)
20:06:58	271/271	---M--	200	added ('OK')	image/svg+xml	etag:%2264e371d7-10f%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/4x3/ga.svg	C:/Users/Orange/Downloads/Admin%20Template/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/4x3/ga.svg	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flag-icons.css)
20:06:59	275/275	---M--	200	added ('OK')	image/svg+xml	etag:%2264e371d7-113%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/1x1/ga.svg	C:/Users/Orange/Downloads/Admin%20Template/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/1x1/ga.svg	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flag-icons.css)
20:06:59	535/535	---M--	200	added ('OK')	image/svg+xml	etag:%2264e371d7-217%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/4x3/gb.svg	C:/Users/Orange/Downloads/Admin%20Template/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/4x3/gb.svg	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flag-icons.css)
20:06:59	538/538	---M--	200	added ('OK')	image/svg+xml	etag:%2264e371d7-21a%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/1x1/gb.svg	C:/Users/Orange/Downloads/Admin%20Template/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/1x1/gb.svg	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flag-icons.css)
20:06:59	1732/1732	---M--	200	added ('OK')	image/svg+xml	etag:%2264e371d7-6c4%22	https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/4x3/gd.svg	C:/Users/Orange/Downloads/Admin%20Template/demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flags/4x3/gd.svg	(from https://demos.themeselection.com/materio-bootstrap-html-admin-template/assets/vendor/fonts/flag-icons.css)
